"ProductID,ProductName,Category,Stock,Price"
"P1159,Decorative Tray,Home Decor,72,22.99"
"P1160,Smart Plug,Electronics,84,24.99"
"P1161,Button-Up Shirt,Clothing,63,34.99"
"P1162,Desk Organizer,Office Supplies,97,14.99"
"P1163,Toaster Oven,Home Appliances,34,79.99"
"P1164,Resistance Band Set,Sports & Fitness,58,29.99"
"P1165,Vase,Home Decor,89,18.99"
"P1166,Camera Tripod,Electronics,42,39.99"
"P1167,Maxi Dress,Clothing,52,49.99"
"P1168,Whiteboard Markers,Office Supplies,126,7.99"
"P1169,Electric Blanket,Home Appliances,28,59.99"
"P1170,Pull-Up Bar,Sports & Fitness,24,39.99"
"P1171,Coaster Set,Home Decor,115,9.99"
"P1172,Wireless Mouse Pad,Electronics,37,34.99"
"P1173,Summer Shorts,Clothing,94,24.99"
"P1174,Document Holder,Office Supplies,68,11.99"
"P1175,Hand Blender,Home Appliances,43,29.99"
"P1176,Weight Vest,Sports & Fitness,15,89.99"
"P1177,Wall Hook,Home Decor,142,6.99"
"P1178,External SSD,Electronics,29,129.99"
"P1179,Winter Gloves,Clothing,86,19.99"
"P1180,Business Card Holder,Office Supplies,92,8.99"
"P1181,Electric Knife,Home Appliances,27,39.99"
"P1182,Martial Arts Gi,Sports & Fitness,14,79.99"
"P1183,Curtain Rod,Home Decor,63,24.99"
"P1184,Bluetooth Adapter,Electronics,78,12.99"
"P1185,Henley Shirt,Clothing,74,29.99"
"P1186,Pen Set,Office Supplies,158,9.99"
"P1187,Egg Cooker,Home Appliances,39,19.99"
"P1188,Climbing Shoes,Sports & Fitness,23,89.99"
"P1189,Wall Clock,Home Decor,57,34.99"
"P1190,USB-C Cable,Electronics,196,7.99"
"P1191,Corduroy Pants,Clothing,62,39.99"
"P1192,Sticky Note Holder,Office Supplies,84,5.99"
"P1193,Pan Set,Home & Kitchen,28,99.99"
"P1194,Jump Rope,Sports & Fitness,76,9.99"
"P1195,Desk Mat,Office Supplies,103,14.99"
"P1196,Smart Thermostat,Electronics,19,129.99"
"P1197,Denim Shorts,Clothing,88,29.99"
"P1198,Paper Towel Holder,Home & Kitchen,67,12.99"
"P1199,Weight Plate Set,Sports & Fitness,9,149.99"
"P1200,Desk Fan,Home Appliances,94,29.99"
